language,voice,gender,description
pt-PT,pt-PT-Wavenet-C,MALE,pt-PT-Wavenet-C (MALE)
pt-PT,pt-PT-Wavenet-D,FEMALE,pt-PT-Wavenet-D (FEMALE)
ro-RO,ro-RO-Standard-A,FEMALE,ro-RO-Standard-A (FEMALE)
ro-RO,ro-RO-Wavenet-A,FEMALE,ro-RO-Wavenet-A (FEMALE)
ru-RU,ru-RU-Standard-A,FEMALE,ru-RU-Standard-A (FEMALE)
ru-RU,ru-RU-Standard-B,MALE,ru-RU-Standard-B (MALE)
ru-RU,ru-RU-Standard-C,FEMALE,ru-RU-Standard-C (FEMALE)
ru-RU,ru-RU-Standard-D,MALE,ru-RU-Standard-D (MALE)
ru-RU,ru-RU-Standard-E,FEMALE,ru-RU-Standard-E (FEMALE)
ru-RU,ru-RU-Wavenet-A,FEMALE,ru-RU-Wavenet-A (FEMALE)
ru-RU,ru-RU-Wavenet-B,MALE,ru-RU-Wavenet-B (MALE)
ru-RU,ru-RU-Wavenet-C,FEMALE,ru-RU-Wavenet-C (FEMALE)
ru-RU,ru-RU-Wavenet-D,MALE,ru-RU-Wavenet-D (MALE)
ru-RU,ru-RU-Wavenet-E,FEMALE,ru-RU-Wavenet-E (FEMALE)
sk-SK,sk-SK-Standard-A,FEMALE,sk-SK-Standard-A (FEMALE)
sk-SK,sk-SK-Wavenet-A,FEMALE,sk-SK-Wavenet-A (FEMALE)
sr-RS,sr-RS-Standard-A,FEMALE,sr-RS-Standard-A (FEMALE)
sv-SE,sv-SE-Standard-A,FEMALE,sv-SE-Standard-A (FEMALE)
sv-SE,sv-SE-Standard-B,FEMALE,sv-SE-Standard-B (FEMALE)
sv-SE,sv-SE-Standard-C,FEMALE,sv-SE-Standard-C (FEMALE)
sv-SE,sv-SE-Standard-D,MALE,sv-SE-Standard-D (MALE)
sv-SE,sv-SE-Standard-E,MALE,sv-SE-Standard-E (MALE)
sv-SE,sv-SE-Wavenet-A,FEMALE,sv-SE-Wavenet-A (FEMALE)
sv-SE,sv-SE-Wavenet-B,FEMALE,sv-SE-Wavenet-B (FEMALE)
sv-SE,sv-SE-Wavenet-C,MALE,sv-SE-Wavenet-C (MALE)
sv-SE,sv-SE-Wavenet-D,FEMALE,sv-SE-Wavenet-D (FEMALE)
sv-SE,sv-SE-Wavenet-E,MALE,sv-SE-Wavenet-E (MALE)
ta-IN,ta-IN-Standard-A,FEMALE,ta-IN-Standard-A (FEMALE)
ta-IN,ta-IN-Standard-B,MALE,ta-IN-Standard-B (MALE)
ta-IN,ta-IN-Standard-C,FEMALE,ta-IN-Standard-C (FEMALE)
ta-IN,ta-IN-Standard-D,MALE,ta-IN-Standard-D (MALE)
ta-IN,ta-IN-Wavenet-A,FEMALE,ta-IN-Wavenet-A (FEMALE)
ta-IN,ta-IN-Wavenet-B,MALE,ta-IN-Wavenet-B (MALE)
ta-IN,ta-IN-Wavenet-C,FEMALE,ta-IN-Wavenet-C (FEMALE)
ta-IN,ta-IN-Wavenet-D,MALE,ta-IN-Wavenet-D (MALE)
te-IN,te-IN-Standard-A,FEMALE,te-IN-Standard-A (FEMALE)
te-IN,te-IN-Standard-B,MALE,te-IN-Standard-B (MALE)
th-TH,th-TH-Neural2-C,FEMALE,th-TH-Neural2-C (FEMALE)
th-TH,th-TH-Standard-A,FEMALE,th-TH-Standard-A (FEMALE)
tr-TR,tr-TR-Standard-A,FEMALE,tr-TR-Standard-A (FEMALE)
tr-TR,tr-TR-Standard-B,MALE,tr-TR-Standard-B (MALE)
tr-TR,tr-TR-Standard-C,FEMALE,tr-TR-Standard-C (FEMALE)
tr-TR,tr-TR-Standard-D,FEMALE,tr-TR-Standard-D (FEMALE)
tr-TR,tr-TR-Standard-E,MALE,tr-TR-Standard-E (MALE)
tr-TR,tr-TR-Wavenet-A,FEMALE,tr-TR-Wavenet-A (FEMALE)
tr-TR,tr-TR-Wavenet-B,MALE,tr-TR-Wavenet-B (MALE)
tr-TR,tr-TR-Wavenet-C,FEMALE,tr-TR-Wavenet-C (FEMALE)
tr-TR,tr-TR-Wavenet-D,FEMALE,tr-TR-Wavenet-D (FEMALE)
tr-TR,tr-TR-Wavenet-E,MALE,tr-TR-Wavenet-E (MALE)
uk-UA,uk-UA-Standard-A,FEMALE,uk-UA-Standard-A (FEMALE)
uk-UA,uk-UA-Wavenet-A,FEMALE,uk-UA-Wavenet-A (FEMALE)
ur-IN,ur-IN-Standard-A,FEMALE,ur-IN-Standard-A (FEMALE)
ur-IN,ur-IN-Standard-B,MALE,ur-IN-Standard-B (MALE)
ur-IN,ur-IN-Wavenet-A,FEMALE,ur-IN-Wavenet-A (FEMALE)
ur-IN,ur-IN-Wavenet-B,MALE,ur-IN-Wavenet-B (MALE)
vi-VN,vi-VN-Neural2-A,FEMALE,vi-VN-Neural2-A (FEMALE)
vi-VN,vi-VN-Neural2-D,MALE,vi-VN-Neural2-D (MALE)
vi-VN,vi-VN-Standard-A,FEMALE,vi-VN-Standard-A (FEMALE)
vi-VN,vi-VN-Standard-B,MALE,vi-VN-Standard-B (MALE)
vi-VN,vi-VN-Standard-C,FEMALE,vi-VN-Standard-C (FEMALE)
vi-VN,vi-VN-Standard-D,MALE,vi-VN-Standard-D (MALE)
vi-VN,vi-VN-Wavenet-A,FEMALE,vi-VN-Wavenet-A (FEMALE)
vi-VN,vi-VN-Wavenet-B,MALE,vi-VN-Wavenet-B (MALE)
vi-VN,vi-VN-Wavenet-C,FEMALE,vi-VN-Wavenet-C (FEMALE)
vi-VN,vi-VN-Wavenet-D,MALE,vi-VN-Wavenet-D (MALE)
yue-HK,yue-HK-Standard-A,FEMALE,yue-HK-Standard-A (FEMALE)
yue-HK,yue-HK-Standard-B,MALE,yue-HK-Standard-B (MALE)
yue-HK,yue-HK-Standard-C,FEMALE,yue-HK-Standard-C (FEMALE)
yue-HK,yue-HK-Standard-D,MALE,yue-HK-Standard-D (MALE)
